"Provider.ID","Name","City","State","County","Address","lat","long"
10036,"ANDALUSIA REGIONAL HOSPITAL","ANDALUSIA","AL","COVINGTON","849 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
(31.297502, -86.495539)","31.297502"," -86.495539"
10038,"STRINGFELLOW MEMORIAL HOSPITAL","ANNISTON","AL","CALHOUN","301 EAST 18TH ST
ANNISTON, AL 36201
(33.667701, -85.825025)","33.667701"," -85.825025"
10039,"HUNTSVILLE HOSPITAL","HUNTSVILLE","AL","MADISON","101 SIVLEY RD
HUNTSVILLE, AL 35801
(34.721226, -86.581547)","34.721226"," -86.581547"
10040,"GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL","ETOWAH","1007 GOODYEAR AVENUE
GADSDEN, AL 35903
(34.009389, -85.96752)","34.009389"," -85.96752"
10044,"MARION REGIONAL MEDICAL CENTER","HAMILTON","AL","MARION","1256 MILITARY STREET SOUTH
HAMILTON, AL 35570
(34.126444, -87.989825)","34.126444"," -87.989825"
10045,"FAYETTE MEDICAL CENTER","FAYETTE","AL","FAYETTE","1653 TEMPLE AVENUE NORTH
FAYETTE, AL 35555
(33.70769, -87.823721)","33.70769"," -87.823721"
10046,"RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN","AL","ETOWAH","600 SOUTH THIRD STREET
GADSDEN, AL 35901
(34.003811, -86.004086)","34.003811"," -86.004086"
10047,"GEORGIANA MEDICAL CENTER","GEORGIANA","AL","BUTLER","515 N MIRANDA AVENUE
GEORGIANA, AL 36033
(31.636334, -86.742751)","31.636334"," -86.742751"
10049,"MEDICAL CENTER ENTERPRISE","ENTERPRISE","AL","COFFEE","400 N EDWARDS STREET
ENTERPRISE, AL 36330
(31.318084, -85.855215)","31.318084"," -85.855215"
10051,"GREENE COUNTY HOSPITAL","EUTAW","AL","GREENE","509 WILSON AVENUE
EUTAW, AL 35462
(32.844744, -87.889307)","32.844744"," -87.889307"
10052,"LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE","AL","TALLAPOOSA","201 MARIARDEN ROAD
DADEVILLE, AL 36853
(32.818263, -85.741564)","32.818263"," -85.741564"
10055,"FLOWERS HOSPITAL","DOTHAN","AL","HOUSTON","4370 WEST MAIN STREET
DOTHAN, AL 36305
(31.235991, -85.457937)","31.235991"," -85.457937"
10056,"ST VINCENT'S BIRMINGHAM","BIRMINGHAM","AL","JEFFERSON","810 ST VINCENT'S DRIVE
BIRMINGHAM, AL 35205
(33.508015, -86.788755)","33.508015"," -86.788755"
10058,"BIBB MEDICAL CENTER","CENTREVILLE","AL","BIBB","208 PIERSON AVE
CENTREVILLE, AL 35042
(32.951101, -87.147865)","32.951101"," -87.147865"
10059,"LAWRENCE MEDICAL CENTER","MOULTON","AL","LAWRENCE","202 HOSPITAL STREET
MOULTON, AL 35650
(34.483724, -87.285988)","34.483724"," -87.285988"
10061,"HIGHLANDS MEDICAL CENTER","SCOTTSBORO","AL","JACKSON","380 WOODS COVE ROAD
SCOTTSBORO, AL 35768
(34.661254, -86.047116)","34.661254"," -86.047116"
10062,"WIREGRASS MEDICAL CENTER","GENEVA","AL","GENEVA","1200 W MAPLE AVENUE
GENEVA, AL 36340
(31.048062, -85.890837)","31.048062"," -85.890837"
10065,"RUSSELL HOSPITAL","ALEXANDER CITY","AL","TALLAPOOSA","3316 HIGHWAY 280
ALEXANDER CITY, AL 35010
(32.931055, -85.968422)","32.931055"," -85.968422"
10069,"MEDICAL CENTER BARBOUR","EUFAULA","AL","BARBOUR","820 W WASHINGTON ST
EUFAULA, AL 36027
(31.88798, -85.156613)","31.88798"," -85.156613"
10073,"CLAY COUNTY HOSPITAL","ASHLAND","AL","CLAY","83825 HIGHWAY 9 P O BOX 1270
ASHLAND, AL 36251
(33.276548, -85.823789)","33.276548"," -85.823789"
10078,"NORTHEAST ALABAMA REGIONAL MED CENTER","ANNISTON","AL","CALHOUN","400 EAST 10TH STREET
ANNISTON, AL 36207
(33.657123, -85.823353)","33.657123"," -85.823353"
10079,"ATHENS-LIMESTONE HOSPITAL","ATHENS","AL","LIMESTONE","700 WEST MARKET STREET
ATHENS, AL 35611
(34.803499, -86.977803)","34.803499"," -86.977803"
10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","FOLEY","AL","BALDWIN","1613 NORTH MCKENZIE STREET
FOLEY, AL 36535
(30.426109, -87.683187)","30.426109"," -87.683187"
10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","DECATUR","AL","MORGAN","1201 7TH STREET SE
DECATUR, AL 35601
(34.591168, -86.972621)","34.591168"," -86.972621"
10086,"NORTHWEST MEDICAL CENTER","WINFIELD","AL","MARION","1530 U S HIGHWAY 43
WINFIELD, AL 35594
(33.929316, -87.824507)","33.929316"," -87.824507"
10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","MOBILE","AL","MOBILE","2451 FILLINGIM STREET
MOBILE, AL 36617
(30.708187, -88.099011)","30.708187"," -88.099011"
10089,"WALKER BAPTIST MEDICAL CENTER","JASPER","AL","WALKER","3400 HIGHWAY 78 EAST
JASPER, AL 35502
(33.840956, -87.236303)","33.840956"," -87.236303"
10090,"PROVIDENCE HOSPITAL","MOBILE","AL","MOBILE","6801 AIRPORT BOULEVARD
MOBILE, AL 36608
(30.681482, -88.197854)","30.681482"," -88.197854"
10091,"GROVE HILL MEMORIAL HOSPITAL","GROVE HILL","AL","CLARKE","295 JACKSON HWY S
GROVE HILL, AL 36451
(31.694213, -87.777231)","31.694213"," -87.777231"
10092,"D C H REGIONAL MEDICAL CENTER","TUSCALOOSA","AL","TUSCALOOSA","809 UNIVERSITY BOULEVARD EAST
TUSCALOOSA, AL 35401
(33.20613, -87.525154)","33.20613"," -87.525154"
10095,"HALE COUNTY HOSPITAL","GREENSBORO","AL","HALE","508 GREEN STREET
GREENSBORO, AL 36744
(32.705571, -87.590753)","32.705571"," -87.590753"
10097,"ELMORE COMMUNITY HOSPITAL","WETUMPKA","AL","ELMORE","500 HOSPITAL DRIVE
WETUMPKA, AL 36092
(32.551957, -86.185643)","32.551957"," -86.185643"
10099,"D W MCMILLAN MEMORIAL HOSPITAL","BREWTON","AL","ESCAMBIA","1301 BELLEVILLE AVENUE
BREWTON, AL 36426
(31.127105, -87.072378)","31.127105"," -87.072378"
10100,"THOMAS HOSPITAL","FAIRHOPE","AL","BALDWIN","750 MORPHY AVENUE
FAIRHOPE, AL 36532
(30.519999, -87.890333)","30.519999"," -87.890333"
10101,"CITIZENS BAPTIST MEDICAL CENTER","TALLADEGA","AL","TALLADEGA","604 STONE AVENUE
TALLADEGA, AL 35161
(33.439791, -86.090145)","33.439791"," -86.090145"
10102,"J PAUL JONES HOSPITAL","CAMDEN","AL","WILCOX","317 MCWILLIAMS AVENUE
CAMDEN, AL 36726
(31.996611, -87.299424)","31.996611"," -87.299424"
10103,"BAPTIST MEDICAL CENTER-PRINCETON","BIRMINGHAM","AL","JEFFERSON","701 PRINCETON AVENUE SOUTHWEST
BIRMINGHAM, AL 35211
(33.499134, -86.846015)","33.499134"," -86.846015"
10104,"GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL","JEFFERSON","3690 GRANDVIEW PARKWAY
BIRMINGHAM, AL 35243
(33.43248, -86.723028)","33.43248"," -86.723028"
10108,"PRATTVILLE BAPTIST HOSPITAL","PRATTVILLE","AL","AUTAUGA","124 S MEMORIAL DR
PRATTVILLE, AL 36067
(32.464328, -86.450937)","32.464328"," -86.450937"
10109,"PICKENS COUNTY MEDICAL CENTER","CARROLLTON","AL","PICKENS","241 ROBERT K WILSON DRIVE
CARROLLTON, AL 35447
(33.274807, -88.089673)","33.274807"," -88.089673"
10110,"BULLOCK COUNTY HOSPITAL","UNION SPRINGS","AL","BULLOCK","102 WEST CONECUH AVENUE
UNION SPRINGS, AL 36089
(32.146182, -85.71638)","32.146182"," -85.71638"
10112,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","DEMOPOLIS","AL","MARENGO","105 HIGHWAY 80 EAST
DEMOPOLIS, AL 36732
(32.503643, -87.836949)","32.503643"," -87.836949"
10113,"MOBILE INFIRMARY MEDICAL CENTER","MOBILE","AL","MOBILE","5 MOBILE INFIRMARY CIRCLE
MOBILE, AL 36652
(30.696441, -88.08101)","30.696441"," -88.08101"
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","BESSEMER","AL","JEFFERSON","995 9TH AVENUE SOUTHWEST
BESSEMER, AL 35021
(33.373086, -86.991709)","33.373086"," -86.991709"
10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","SELMA","AL","DALLAS","1015 MEDICAL CENTER PARKWAY
SELMA, AL 36701
(32.430248, -87.055174)","32.430248"," -87.055174"
10120,"MONROE COUNTY HOSPITAL","MONROEVILLE","AL","MONROE","2016 SOUTH ALABAMA AVENUE, BOX 886
MONROEVILLE, AL 36460
(31.497839, -87.319411)","31.497839"," -87.319411"
10125,"LAKELAND COMMUNITY HOSPITAL","HALEYVILLE","AL","WINSTON","42024 HIGHWAY 195 E
HALEYVILLE, AL 35565
(34.241236, -87.590675)","34.241236"," -87.590675"
10126,"TROY REGIONAL MEDICAL CENTER","TROY","AL","PIKE","1330 HIGHWAY 231 SOUTH
TROY, AL 36081
(31.780399, -85.945768)","31.780399"," -85.945768"
10128,"JACKSON MEDICAL CENTER","JACKSON","AL","CLARKE","220 HOSPITAL DRIVE
JACKSON, AL 36545
(31.530507, -87.893245)","31.530507"," -87.893245"
10129,"NORTH BALDWIN INFIRMARY","BAY MINETTE","AL","BALDWIN","1815 HAND AVENUE
BAY MINETTE, AL 36507
(30.902492, -87.783318)","30.902492"," -87.783318"
10130,"ST VINCENT'S ST CLAIR","PELL CITY","AL","SAINT CLAIR","7063 VETERANS PARKWAY
PELL CITY, AL 35125
(33.605243, -86.299031)","33.605243"," -86.299031"
10131,"CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL","MADISON","ONE HOSPITAL DR SE
HUNTSVILLE, AL 35801
","34.6935825","-86.572207"
10138,"HILL HOSPITAL OF SUMTER COUNTY","YORK","AL","SUMTER","751 DERBY DRIVE
YORK, AL 36925
(32.491833, -88.29609)","32.491833"," -88.29609"
10139,"BROOKWOOD MEDICAL CENTER","BIRMINGHAM","AL","JEFFERSON","2010 BROOKWOOD MEDICAL CENTER DRIVE
BIRMINGHAM, AL 35209
(33.46291, -86.77685)","33.46291"," -86.77685"
10144,"SPRINGHILL MEMORIAL HOSPITAL","MOBILE","AL","MOBILE","3719 DAUPHIN STREET
MOBILE, AL 36608
(30.685946, -88.131719)","30.685946"," -88.131719"
10146,"RMC JACKSONVILLE","JACKSONVILLE","AL","CALHOUN","1701 SOUTH PELHAM ROAD
JACKSONVILLE, AL 36265
(33.784679, -85.761319)","33.784679"," -85.761319"
10148,"EVERGREEN MEDICAL CENTER","EVERGREEN","AL","CONECUH","101 CRESTVIEW AVENUE
EVERGREEN, AL 36401
(31.43126, -86.94205)","31.43126"," -86.94205"
10149,"BAPTIST MEDICAL CENTER EAST","MONTGOMERY","AL","MONTGOMERY","400 TAYLOR ROAD
MONTGOMERY, AL 36117
(32.377319, -86.172512)","32.377319"," -86.172512"
10150,"L V STABLER MEMORIAL HOSPITAL","GREENVILLE","AL","BUTLER","29 L V STABLER DRIVE
GREENVILLE, AL 36037
(31.82945, -86.64586)","31.82945"," -86.64586"
10157,"SHOALS HOSPITAL","MUSCLE SHOALS","AL","COLBERT","201 WEST AVALON AVENUE
MUSCLE SHOALS, AL 35661
(34.744941, -87.676511)","34.744941"," -87.676511"
10158,"RUSSELLVILLE HOSPITAL","RUSSELLVILLE","AL","FRANKLIN","15155 HIGHWAY 43
RUSSELLVILLE, AL 35653
(34.511165, -87.717585)","34.511165"," -87.717585"
10164,"COOSA VALLEY MEDICAL CENTER","SYLACAUGA","AL","TALLADEGA","315 W HICKORY ST
SYLACAUGA, AL 35150
(33.164666, -86.254598)","33.164666"," -86.254598"
10168,"JACK HUGHSTON MEMORIAL HOSPITAL","PHENIX CITY","AL","RUSSELL","4401 RIVER CHASE DRIVE
PHENIX CITY, AL 36867
(32.509045, -85.005696)","32.509045"," -85.005696"
10169,"ATMORE COMMUNITY HOSPITAL","ATMORE","AL","ESCAMBIA","401 MEDICAL PARK DRIVE
ATMORE, AL 36502
(31.017363, -87.479645)","31.017363"," -87.479645"
11300,"WASHINGTON COUNTY HOSPITAL","CHATOM","AL","WASHINGTON","14600 ST. STEPHENS AVENUE
CHATOM, AL 36518
(31.460032, -88.234524)","31.460032"," -88.234524"
11302,"RED BAY HOSPITAL","RED BAY","AL","FRANKLIN","211 HOSPITAL ROAD
RED BAY, AL 35582
(34.457425, -88.146934)","34.457425"," -88.146934"
11304,"CHOCTAW GENERAL HOSPITAL","BUTLER","AL","CHOCTAW","401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL 36904
(32.093445, -88.208321)","32.093445"," -88.208321"
11305,"ST VINCENTS BLOUNT","ONEONTA","AL","BLOUNT","150 GILBREATH DRIVE
ONEONTA, AL 35121
(33.932537, -86.493059)","33.932537"," -86.493059"
13301,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","MOBILE","AL","MOBILE","1700 CENTER STREET
MOBILE, AL 36604
(30.696082, -88.076883)","30.696082"," -88.076883"
20001,"PROVIDENCE ALASKA MEDICAL CENTER","ANCHORAGE","AK","ANCHORAGE","BOX 196604
ANCHORAGE, AK 99508
","60.9490169","-149.1703365"
20006,"MAT-SU REGIONAL MEDICAL CENTER","PALMER","AK","MATANUSKA SUSITNA","2500 SOUTH WOODWORTH LOOP
PALMER, AK 99645
(61.561731, -149.260015)","61.561731"," -149.260015"
20008,"BARTLETT REGIONAL HOSPITAL","JUNEAU","AK","JUNEAU","3260 HOSPITAL DR
JUNEAU, AK 99801
(58.328696, -134.466829)","58.328696"," -134.466829"
20012,"FAIRBANKS MEMORIAL HOSPITAL","FAIRBANKS","AK","FAIRBANKS NORTH STAR","1650 COWLES STREET
FAIRBANKS, AK 99701
(64.83139, -147.736254)","64.83139"," -147.736254"
20017,"ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK","ANCHORAGE","2801 DEBARR ROAD
ANCHORAGE, AK 99508
(61.20979, -149.827379)","61.20979"," -149.827379"
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","BETHEL","AK","BETHEL","PO BOX 287
BETHEL, AK 99559
","60.7922222","-161.7558333"
20024,"CENTRAL PENINSULA GENERAL HOSPITAL","SOLDOTNA","AK","","250 HOSPITAL PLACE
SOLDOTNA, AK 99669
(60.493865, -151.077658)","60.493865"," -151.077658"
20026,"ALASKA NATIVE MEDICAL CENTER","ANCHORAGE","AK","ANCHORAGE","4315 DIPLOMACY DR
ANCHORAGE, AK 99508
(61.18189, -149.800578)","61.18189"," -149.800578"
21301,"PROVIDENCE VALDEZ MEDICAL CENTER","VALDEZ","AK","","PO BOX 550
VALDEZ, AK 99686
","61.1308333","-146.3483333"
21302,"PROVIDENCE SEWARD HOSPITAL","SEWARD","AK","","417 FIRST AVENUE, PO BOX 365
SEWARD, AK 99664
(60.105046, -149.445383)","60.105046"," -149.445383"
21303,"SITKA COMMUNITY HOSPITAL","SITKA","AK","SITKA","209 MOLLER DRIVE
SITKA, AK 99835
(57.059354, -135.34673)","57.059354"," -135.34673"
21304,"PETERSBURG MEDICAL CENTER","PETERSBURG","AK","","PO BOX 589
PETERSBURG, AK 99833
","56.8125","-132.9555556"
21305,"WRANGELL MEDICAL CENTER","WRANGELL","AK","","310 BENNETT STREET PO BOX 1081
WRANGELL, AK 99929
(56.472251, -132.375941)","56.472251"," -132.375941"
21306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR","KODIAK","AK","KODIAK ISLAND","1915 EAST REZANOF DRIVE
KODIAK, AK 99615
(57.800835, -152.373943)","57.800835"," -152.373943"
21307,"CORDOVA COMMUNITY MEDICAL CENTER","CORDOVA","AK","","PO BOX 160 - 602 CHASE AVENUE
CORDOVA, AK 99574
","60.5411276","-145.7503229"
21308,"NORTON SOUND REGIONAL HOSPITAL","NOME","AK","NOME","1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK 99762
(64.494573, -165.381915)","64.494573"," -165.381915"
21309,"KANAKANAK HOSPITAL","DILLINGHAM","AK","DILLINGHAM","P O BOX 130
DILLINGHAM, AK 99576
","59.0397222","-158.4575"
21311,"PEACEHEALTH KETCHIKAN MEDICAL CENTER","KETCHIKAN","AK","KETCHIKAN GATEWAY","3100 TONGASS AVENUE
KETCHIKAN, AK 99901
(55.352974, -131.686966)","55.352974"," -131.686966"
21312,"SAMUEL SIMMONDS MEMORIAL HOSPITAL","BARROW","AK","","7000 UULA ST
BARROW, AK 99723
(71.298914, -156.728556)","71.298914"," -156.728556"
21313,"SOUTH PENINSULA HOSPITAL","HOMER","AK","","4300 BARTLETT ST
HOMER, AK 99603
(59.652133, -151.550296)","59.652133"," -151.550296"
30001,"ABRAZO MARYVALE CAMPUS","PHOENIX","AZ","MARICOPA","5102 WEST CAMPBELL AVENUE
PHOENIX, AZ 85031
(33.502148, -112.170002)","33.502148"," -112.170002"
30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","PHOENIX","AZ","MARICOPA","1111 EAST MCDOWELL ROAD
PHOENIX, AZ 85006
(33.465724, -112.058127)","33.465724"," -112.058127"
30006,"TUCSON MEDICAL CENTER","TUCSON","AZ","PIMA","5301 EAST GRANT ROAD
TUCSON, AZ 85712
(32.250749, -110.880169)","32.250749"," -110.880169"
30007,"VERDE VALLEY MEDICAL CENTER","COTTONWOOD","AZ","YAVAPAI","269 SOUTH CANDY LANE
COTTONWOOD, AZ 86326
(34.73619, -112.031778)","34.73619"," -112.031778"
30010,"ST. MARY'S HOSPITAL","TUCSON","AZ","PIMA","1601 WEST ST MARY'S ROAD
TUCSON, AZ 85745
(32.228884, -110.999567)","32.228884"," -110.999567"
30011,"ST JOSEPH'S HOSPITAL","TUCSON","AZ","PIMA","350 NORTH WILMOT ROAD
TUCSON, AZ 85711
(32.225946, -110.857838)","32.225946"," -110.857838"
30012,"YAVAPAI REGIONAL MEDICAL CENTER","PRESCOTT","AZ","YAVAPAI","1003 WILLOW CREEK ROAD
PRESCOTT, AZ 86301
(34.558763, -112.482039)","34.558763"," -112.482039"
30013,"YUMA REGIONAL MEDICAL CENTER","YUMA","AZ","YUMA","2400 SOUTH AVENUE A
YUMA, AZ 85364
(32.683899, -114.633238)","32.683899"," -114.633238"
30014,"JOHN C. LINCOLN MEDICAL CENTER","PHOENIX","AZ","MARICOPA","250 EAST DUNLAP AVENUE
PHOENIX, AZ 85020
(33.567754, -112.07063)","33.567754"," -112.07063"
30016,"BANNER CASA GRANDE MEDICAL CENTER","CASA GRANDE","AZ","PINAL","1800 EAST FLORENCE BOULEVARD
CASA GRANDE, AZ 85222
(32.879608, -111.709253)","32.879608"," -111.709253"
30022,"MARICOPA MEDICAL CENTER","PHOENIX","AZ","MARICOPA","2601 EAST ROOSEVELT STREET
PHOENIX, AZ 85008
(33.458525, -112.02643)","33.458525"," -112.02643"
30023,"FLAGSTAFF MEDICAL CENTER","FLAGSTAFF","AZ","COCONINO","1200 NORTH BEAVER STREET
FLAGSTAFF, AZ 86001
(35.209509, -111.644843)","35.209509"," -111.644843"
30024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","PHOENIX","AZ","MARICOPA","350 WEST THOMAS ROAD
PHOENIX, AZ 85013
(33.480294, -112.079208)","33.480294"," -112.079208"
30030,"ABRAZO CENTRAL CAMPUS","PHOENIX","AZ","MARICOPA","2000 WEST BETHANY HOME ROAD
PHOENIX, AZ 85015
(33.524116, -112.101934)","33.524116"," -112.101934"
30033,"BANNER PAYSON MEDICAL CENTER","PAYSON","AZ","GILA","807 SOUTH PONDEROSA DRIVE
PAYSON, AZ 85541
(34.231724, -111.321375)","34.231724"," -111.321375"
30036,"CHANDLER REGIONAL MEDICAL CENTER","CHANDLER","AZ","MARICOPA","1955 WEST FRYE ROAD
CHANDLER, AZ 85224
(33.298635, -111.875109)","33.298635"," -111.875109"
30037,"ST LUKE'S MEDICAL CENTER","PHOENIX","AZ","MARICOPA","1800 EAST VAN BUREN STREET
PHOENIX, AZ 85006
(33.451436, -112.042767)","33.451436"," -112.042767"
30038,"SCOTTSDALE OSBORN MEDICAL CENTER","SCOTTSDALE","AZ","MARICOPA","7400 EAST OSBORN ROAD
SCOTTSDALE, AZ 85251
(33.487639, -111.922725)","33.487639"," -111.922725"
30043,"CANYON VISTA MEDICAL CENTER","SIERRA VISTA","AZ","COCHISE","5700 EAST HIGHWAY 90
SIERRA VISTA, AZ 85635
(31.55463, -110.232095)","31.55463"," -110.232095"
30055,"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ","MOHAVE","3269 STOCKTON HILL ROAD
KINGMAN, AZ 86409
(35.219666, -114.035789)","35.219666"," -114.035789"
30061,"BANNER BOSWELL MEDICAL CENTER","SUN CITY","AZ","MARICOPA","10401 WEST THUNDERBIRD BOULEVARD
SUN CITY, AZ 85351
(33.604802, -112.28344)","33.604802"," -112.28344"
30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","SHOW LOW","AZ","NAVAJO","2200 EAST SHOW LOW LAKE ROAD
SHOW LOW, AZ 85901
(34.201967, -110.01839)","34.201967"," -110.01839"
30064,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","TUCSON","AZ","PIMA","1501 NORTH CAMPBELL AVENUE
TUCSON, AZ 85724
(32.23864, -110.948304)","32.23864"," -110.948304"
30065,"BANNER DESERT MEDICAL CENTER","MESA","AZ","MARICOPA","1400 SOUTH DOBSON ROAD
MESA, AZ 85202
(33.39091, -111.874624)","33.39091"," -111.874624"
30068,"MT. GRAHAM REGIONAL MEDICAL CENTER","SAFFORD","AZ","GRAHAM","1600 SOUTH 20TH AVENUE
SAFFORD, AZ 85546
(32.821883, -109.732994)","32.821883"," -109.732994"
30069,"HAVASU REGIONAL MEDICAL CENTER","LAKE HAVASU CITY","AZ","MOHAVE","101 CIVIC CENTER LANE
LAKE HAVASU CITY, AZ 86403
(34.479978, -114.338535)","34.479978"," -114.338535"
30071,"FORT DEFIANCE INDIAN HOSPITAL","FORT DEFIANCE","AZ","APACHE","PO BOX 649
FORT DEFIANCE, AZ 86504
","35.7444602","-109.0764828"
30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION","TUBA CITY","AZ","COCONINO","PO BOX 600
TUBA CITY, AZ 86045
","36.1349928","-111.2398625"
30074,"SELLS INDIAN HEALTH SERVICE HOSPITAL","SELLS","AZ","PIMA","PO BOX 548
SELLS, AZ 85634
","31.9120215","-111.881234"
30077,"SAN CARLOS APACHE HEALTHCARE","PERIDOT","AZ","GILA","103 MEDICINE WAY ROAD
PERIDOT, AZ 85542
","33.2931842","-110.4210295"
30078,"PHOENIX INDIAN MEDICAL CENTER","PHOENIX","AZ","MARICOPA","4212 NORTH 16TH STREET
PHOENIX, AZ 85016
(33.49701, -112.047613)","33.49701"," -112.047613"
30083,"ABRAZO SCOTTSDALE CAMPUS","PHOENIX","AZ","MARICOPA","3929 EAST BELL ROAD
PHOENIX, AZ 85032
(33.640603, -111.997692)","33.640603"," -111.997692"
30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","CHINLE","AZ","APACHE","US HWY 191, HOSPITAL ROAD
CHINLE, AZ 86503
","36.1544483","-109.5526072"
30085,"NORTHWEST MEDICAL CENTER","TUCSON","AZ","PIMA","6200 NORTH LA CHOLLA BOULEVARD
TUCSON, AZ 85741
(32.319581, -111.012054)","32.319581"," -111.012054"
30087,"SCOTTSDALE SHEA MEDICAL CENTER","SCOTTSDALE","AZ","MARICOPA","9003 EAST SHEA BOULEVARD
SCOTTSDALE, AZ 85260
(33.582467, -111.886032)","33.582467"," -111.886032"
